アクティビティID,アクティビティ実行日,アクティビティ名,アクティビティタイプ,アクティビティの説明,経過時間,距離,最大心拍数,相対的エフォート,通勤,アクティビティギア,ファイル名,アスリート体重,自転車重量,経過時間,移動時間,距離,最高速度,平均速度,獲得標高,獲得標高（下り）,最低標高,最高標高,最大勾配,平均勾配,平均プラス勾配,平均マイナス勾配,最大ケイデンス,平均ケイデンス,最大心拍数,平均心拍数,最大ワット,平均ワット,カロリー,最高気温,平均気温,相対的エフォート,合計運動量,ラン数,上り坂のタイム,下り坂のタイム,その他のタイム,主観的運動強度,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",加重平均パワー,パワーカウント,主観的運動強度を使用する,主観的相対的エフォート,通勤,総重量,アップロードより,Grade Adjusted Pace,観測時刻,天候,平均気温,体感温度,露点,湿度,気圧,風速,瞬間風速,風向,降水量,日の入,日の出,月齢,自転車,ギア,降水確率,降水タイプ,雲量,視程,UV指数,オゾン情報,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
7339897416,2022/06/20 15:41:42,夜のランニング,ランニング,,1833,4.46,,,false,,activities/7339897416.gpx,,,1833.0,1833.0,4460.16015625,4.348333358764648,2.4332571029663086,0.0,0.0,4.199999809265137,5.300000190734863,1.6680240631103516,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4462.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4332571029663086,105.69999694824219,,,
7350450774,2022/06/22 13:17:22,夜のランニング,ランニング,,1814,4.57,,,false,,activities/7350450774.gpx,,,1814.0,1814.0,4574.81982421875,3.99399995803833,2.52195143699646,0.0,-0.10000000149011612,4.199999809265137,5.300000190734863,1.4140961170196533,0.0021858783438801765,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4576.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.52195143699646,114.19999694824219,,,
7360659413,2022/06/24 12:13:02,夜のランニング,ランニング,,1816,4.51,,,false,,activities/7360659413.gpx,,,1816.0,1816.0,4511.16015625,4.304003715515137,2.484118938446045,0.0,0.8999999761581421,3.5,5.300000190734863,3.201667547225952,-0.019950522109866142,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4512.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.484118938446045,71.4000015258789,,,
7365473854,2022/06/25 11:33:47,夕方のランニング,ランニング,,1813,4.57,,,false,,activities/7365473854.gpx,,,1813.0,1813.0,4575.81005859375,3.681999921798706,2.52388858795166,0.0,0.0,4.199999809265137,5.300000190734863,1.0459330081939697,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4577.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.52388858795166,112.5,,,
7376378455,2022/06/27 12:24:26,夜のランニング,ランニング,,1817,4.73,,,false,,activities/7376378455.gpx,,,1817.0,1817.0,4734.31982421875,4.185986518859863,2.60556960105896,0.0,0.30000001192092896,4.199999809265137,5.300000190734863,1.7376548051834106,-0.0063367076218128204,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4735.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.60556960105896,115.5999984741211,,,
7387956021,2022/06/29 14:56:28,夜のランニング,ランニング,,1809,4.71,,,false,,activities/7387956021.gpx,,,1809.0,1806.0,4710.18017578125,4.043993949890137,2.6080732345581055,0.0,0.10000000149011612,4.199999809265137,5.300000190734863,1.8206467628479004,-0.00212306110188365,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4711.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.603748083114624,57.099998474121094,,,
7392290557,2022/06/30 11:13:04,夕方のランニング,ランニング,,1809,4.59,,,false,,activities/7392290557.gpx,,,1809.0,1809.0,4593.0302734375,3.6760010719299316,2.5389885902404785,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.7211530208587646,-0.004354423843324184,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4594.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5389885902404785,159.10000610351562,,,
7409305450,2022/07/03 14:50:06,夜のランニング,ランニング,,1812,4.68,,,false,,activities/7409305450.gpx,,,1812.0,1812.0,4684.77978515625,3.7200074195861816,2.5854194164276123,0.0,0.10000000149011612,4.199999809265137,5.300000190734863,1.4814814329147339,-0.0021345720160752535,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4685.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5854194164276123,129.39999389648438,,,
7413165024,2022/07/04 11:40:34,夕方のランニング,ランニング,,1812,4.85,,,false,,activities/7413165024.gpx,,,1812.0,1809.0,4852.06005859375,4.25,2.682178020477295,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.5961965322494507,-0.004121960606426001,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4853.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.677737236022949,56.900001525878906,,,
7425020196,2022/07/06 14:41:59,夜のランニング,ランニング,,1807,4.90,,,false,,activities/7425020196.gpx,,,1807.0,1807.0,4905.02001953125,4.367016792297363,2.7144548892974854,6.758170127868652,7.858170032501221,3.700000047683716,7.5,4.836795330047607,-0.022426003590226173,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4914.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7144548892974854,65.19999694824219,,,
